Informazioni cronologiche,Il tuo nick sul pizzord,La tua pizza prefe,La tua pizza schiferita,Una pizza che ti sei inventatə
03/07/2025 22.34.44,Kyrios,Diavola,quattro formaggi,"Peperoni, prosciutto e stracchino"
03/07/2025 23.23.44,kicch,"base margherita, melanzane grigliate, parmigiano",Patatine e Wurstel,pizza margherita con su il karee
03/07/2025 23.31.15,lufio,Diavola con gorgonzola ,Salsiccia e friarielli,Diavola con gorgonzola e nduja (?) 
03/07/2025 23.37.01,Simo_lestuff,Salsiccia e patate,Romana (con acciughe e capperi),"Pomodori secchi, salsa rosa, salmone e rucola"
04/07/2025 1.18.58,Tempo,fantasia del pizzaiolo,ancora non l'ho trovata,culo
04/07/2025 4.44.38,FRA チラノ S.,Cantonese,Nessuna,Pizza coi gyōza/ ravioli cinesi
04/07/2025 5.51.30,Trish,Quattro formaggi + crudo,Qualunque pizza vegana,Nuggets di pollo e patatine
04/07/2025 7.44.58,rex_t,Gorgonzola e salamino piccante ,Peperoni e tutto ciò che li coinvolge,"Brie, gamberetti e zucchine grigliate "
04/07/2025 7.49.43,Thunor,Boscaiola,Qualsiasi cosa con sopra i carciofi,Pizza parmigiana+salsiccia
04/07/2025 8.16.33,The_ssert,Bianca con zucchine e prosciutto cotto,quella coi carciofi,non lo so non ho fantasia per le pizze scusate
04/07/2025 12.32.40,LUKE,"Crema carciofi, porchetta, porcini, scaglie grana",Patatine Rucola Zola,"Pomodoro secco, crudo, provola"
04/07/2025 17.55.55,dispetta,"Base bianca, mozzarella, pomodorini tipo pachino, stracchino",Marinara,"Rossa con mozzarella, patatine fritte e salsiccia "
04/07/2025 19.32.41,Gasp,"Se durante l’estate: bianca con olive taggiasche, rucola, stracciatella e pomodorini","Boh, qualsiasi pizza con gamberetti",4 formaggi + salamino piccante
04/07/2025 22.31.05,accicieff,Speck e porcini,Rucola,"Olive, stracchino e funghi"
04/07/2025 22.35.30,Balooka80,Pizza con degli ingredienti,Piatto vuoto,Pizza rossa (con le fragole)
05/07/2025 18.49.27,Benz,"Troppe, se proprio deve essere una direi Diavola",Bismark,Diavola con ananas
06/07/2025 15.02.06,Krein,PROSCIUTTO E FUNGHI,carciofini e cotto prosciutto,Diavola con la burrata
06/07/2025 20.46.59,Glicaos,Diavola (cipolla a piacimento) con gorgonzola e patatine fritte,Una pizza al pistacchio 😠,"Base rossa, stracchino, coppa, noci, grana a scaglie, olio al tartufo"
07/07/2025 10.09.01,aCu,4 formaggi ,"tbh non ce l'ho, ma se c'è troppa roba sopra ""pesante"" (tipo uova e pancetta) il mio pancyno piange :c",allorw prendi una pizza qualsiasi e mettici su il kimchi
07/07/2025 10.20.35,Chiazz,prosciutto e funghi,Qualsiasi piccante ,"non me la sono inventata ma l'ho ordinata per sbaglio: pomodoro, mozzarella di bufala, funghi, gorgonzola, crudo. pensavo di ordinare una salsiccia e patatine"
07/07/2025 10.58.30,weliveina[...] o decayingfermions (?),"Salsiccia, peperoni, zucchine, cipolla",Qualunque pizza col salmone affumicato ,"Mozzarella, lardo, noci, miele"
14/07/2025 11.56.37,Varg,Diavola con patatine ,Meat Fest,Margherita con salsa Peri Peri
14/07/2025 12.12.24,Mellshyre ,Pulled pork,Tonno e cipolla ,"Base bianca, 'nduja piccante, soppressata piccante, olio piccante, peperoncino a pezzetti e zola"
14/07/2025 12.50.52,LiC,"Asiago, salsiccia e patate arrosto ",Qualsiasi con carciofi e/o olive,Burro di arachidi e speck
14/07/2025 14.04.13,Zannaaaaaaaa🐸🐸🐸🐸,Penso rucola e gamberetti?,Boh tipo quelle con le acciughe,Bianca salmone e Philadelphia e pomodorini dopo cottura (ed eventualmente anche rucola?)
14/07/2025 15.59.52,XychoLight,Olive nere e funghi :P,4 formaggi,Cipolla caramellata e tofu affumicato
14/07/2025 17.02.05,AnteaPolly,Melanzane e patatine fritte,Maialona ecc,Marinara con il cornicione ripieno di ricotta
14/07/2025 17.39.02,Bananink,4 Formaggi rossa con salame piccante,4 Stagioni,"Margherita con patatine fritte, salsiccia, salame piccante, prosciutto crudo e parmigiano"
